Date,Price_sentiment_positive,Price_sentiment_negative,Type
3/14/2022 15:00,3310,3310,Actual
3/15/2022 15:00,3300,3300,Actual
3/16/2022 15:00,3380,3380,Actual
3/17/2022 15:00,3320,3320,Actual
3/18/2022 15:00,3190,3190,Actual
3/21/2022 15:00,3220,3220,Actual
3/22/2022 15:00,3300,3300,Actual
3/23/2022 15:00,3330,3330,Actual
3/24/2022 15:00,3350,3350,Actual
3/25/2022 15:00,3320,3320,Actual
3/28/2022 15:00,3430,3430,Actual
3/29/2022 15:00,3370,3370,Actual
3/30/2022 15:00,3280,3280,Actual
3/31/2022 15:00,3290,3290,Actual
4/1/2022 15:00,3330,3330,Actual
4/4/2022 15:00,3360,3360,Actual
4/5/2022 15:00,3480,3480,Actual
4/6/2022 15:00,3490,3490,Actual
4/7/2022 15:00,3500,3500,Actual
4/8/2022 15:00,3600,3600,Actual
4/11/2022 15:00,3550,3550,Actual
4/12/2022 15:00,3510,3510,Actual
4/13/2022 15:00,3760,3760,Actual
4/14/2022 15:00,3770,3770,Actual
4/18/2022 15:00,3760,3760,Actual
4/19/2022 15:00,3750,3750,Actual
4/20/2022 15:00,3700,3700,Actual
4/21/2022 15:00,3720,3720,Actual
4/22/2022 15:00,3690,3690,Actual
4/25/2022 15:00,3700,3700,Actual
4/26/2022 15:00,3640,3640,Actual
4/27/2022 15:00,3700,3700,Actual
4/28/2022 15:00,3820,3820,Actual
5/9/2022 15:00,3770,3770,Actual
5/10/2022 15:00,3660,3660,Actual
5/11/2022 15:00,3710,3710,Actual
5/12/2022 15:00,3650,3650,Actual
5/13/2022 15:00,3800,3800,Actual
5/17/2022 15:00,4100,4100,Actual
5/18/2022 15:00,4000,4000,Actual
5/19/2022 15:00,3950,3950,Actual
5/20/2022 15:00,4050,4050,Actual
5/23/2022 15:00,4100,4100,Actual
5/24/2022 15:00,4400,4400,Actual
5/25/2022 15:00,4390,4390,Actual
5/27/2022 15:00,4420,4420,Actual
5/30/2022 15:00,4430,4430,Actual
5/31/2022 15:00,4530,4530,Actual
6/2/2022 15:00,4550,4550,Actual
6/3/2022 15:00,4630,4630,Actual
6/6/2022 15:00,4310,4310,Actual
6/7/2022 15:00,4070,4070,Actual
6/8/2022 15:00,4050,4050,Actual
6/9/2022 15:00,4070,4070,Actual
6/10/2022 15:00,3920,3920,Actual
6/13/2022 15:00,3870,3870,Actual
6/14/2022 15:00,3880,3880,Actual
6/15/2022 15:00,3680,3680,Actual
6/16/2022 15:00,3820,3820,Actual
6/17/2022 15:00,3730,3730,Actual
6/18/2022 15:00,3735.297859,3739.777939,Forecast
6/19/2022 15:00,3784.958,3793.797614,Forecast
6/20/2022 15:00,3850.598076,3863.577972,Forecast
6/21/2022 15:00,3886.876151,3904.11539,Forecast
